"species","owner","country_of_origin","farm_name","mill","company","region","producer","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","total_cup_points","moisture","category_one_defects","quakers","color","category_two_defects","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","guji-hambela","METAD PLC",2015-04-04,"metad plc","","Washed / Wet",8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,"Green",0,1950,2200,2075
"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","guji-hambela","METAD PLC",2015-04-04,"metad plc","Other","Washed / Wet",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,"Green",1,1950,2200,2075
"Arabica","grounds for health admin","Guatemala","san marcos barrancas ""san cristobal cuch","","","","",2010-05-31,"Grounds for Health Admin","Bourbon","",8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,"",0,1600,1800,1700
"Arabica","yidnekachew dabessa","Ethiopia","yidnekachew dabessa coffee plantation","wolensu","yidnekachew debessa coffee plantation","oromia","Yidnekachew Dabessa Coffee Plantation",2015-03-26,"Yidnekachew Dabessa","","Natural / Dry",8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,"Green",2,1800,2200,2000
"Arabica","metad plc","Ethiopia","metad plc","metad plc","metad agricultural developmet plc","guji-hambela","METAD PLC",2015-04-04,"metad plc","Other","Washed / Wet",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,"Green",2,1950,2200,2075
"Arabica","ji-ae ahn","Brazil","","","","","",2013-09-03,"Ji-Ae Ahn","","Natural / Dry",8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,"Bluish-Green",1,NA,NA,NA
"Arabica","hugo valdivia","Peru","","hvc","richmond investment-coffee department","","HVC",2012-09-17,"Hugo Valdivia","Other","Washed / Wet",8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,"Bluish-Green",0,NA,NA,NA
"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","","oromia","Bazen Agricultural & Industrial Dev't Plc",2010-09-02,"Ethiopia Commodity Exchange","","",8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,"",0,1570,1700,1635
"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","","oromiya","Bazen Agricultural & Industrial Dev't Plc",2010-09-02,"Ethiopia Commodity Exchange","","",8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,"",0,1570,1700,1635
"Arabica","diamond enterprise plc","Ethiopia","tulla coffee farm","tulla coffee farm","diamond enterprise plc","snnp/kaffa zone,gimbowereda","Diamond Enterprise Plc",2015-03-30,"Diamond Enterprise Plc","Other","Natural / Dry",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,"Green",4,1795,1850,1822.5
"Arabica","mohammed lalo","Ethiopia","fahem coffee plantation","","fahem coffee plantation","oromia","Fahem Coffee Plantation",2015-03-27,"Mohammed Lalo","","Natural / Dry",8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,"",1,1855,1955,1905
"Arabica","cqi q coffee sample representative","United States","el filo","","coffee quality institute","antioquia","Alfredo De Jesús López Pérez",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,"",0,1872,1872,1872
"Arabica","cqi q coffee sample representative","United States","los cedros","","coffee quality institute","antioquia","Jorge Walter Restrepo",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,"",0,1943,1943,1943
"Arabica","grounds for health admin","United States (Hawaii)","arianna farms","","","kona","Robert, Sharon, Arianna Wood",2010-05-31,"Grounds for Health Admin","","",8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,"",2,609.6,609.6,609.6
"Arabica","ethiopia commodity exchange","Ethiopia","aolme","c.p.w.e","","oromiya","Bazen Agricultural & Industrial Dev't Plc",2010-08-31,"Ethiopia Commodity Exchange","","",8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,"",2,1570,1700,1635
"Arabica","cqi q coffee sample representative","United States","el águila","","coffee quality institute","antioquia","María Leticia Diosa",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,"",0,2080,2080,2080
"Arabica","grounds for health admin","Indonesia","toarco jaya","","","sulawesi","P.T. Toarco Jaya",2010-05-31,"Grounds for Health Admin","","",8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,"",0,1200,1800,1500
"Arabica","ethiopia commodity exchange","Ethiopia","","","","yirgacheffe","Green Gold Ethiopia | Phone: 0114342032",2010-06-16,"Ethiopia Commodity Exchange","","",8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,"",2,NA,NA,NA
"Arabica","yunnan coffee exchange","China","echo coffee","echo coffee mill","yunnan coffee exchange","yunnan","Echo Coffee",2016-04-07,"Yunnan Coffee Exchange","Catimor","Washed / Wet",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,"Green",0,1450,1450,1450
"Arabica","essencecoffee","Ethiopia","drima zede","drima zede","essence coffee","gedio","LevelUp",2015-03-25,"EssenceCoffee","Ethiopian Yirgacheffe","Natural / Dry",8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,"",8,1700,2000,1850
"Arabica","cqi q coffee sample representative","United States","el rodeo","","coffee quality institute","antioquia","Nicolás Rueda Urrego",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,"None",0,2019,2019,2019
"Arabica","the coffee source inc.","Costa Rica","several","cafe altura de san ramon","the coffee source inc.","san ramon","SEVERAL",2014-04-02,"The Coffee Source Inc.","Caturra","Washed / Wet",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,"Green",2,1300,1300,1300
"Arabica","roberto licona franco","Mexico","la herradura","la herradura","","xalapa","ROBERTO LICONA FRANCO",2012-07-26,"ROBERTO LICONA FRANCO","Other","Washed / Wet",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,"Green",0,1320,1320,1320
"Arabica","cqi q coffee sample representative","United States","la curva","","coffee quality institute","antioquia","Silvia Elena Higuita",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,"",0,2112,2112,2112
"Arabica","ji-ae ahn","Ethiopia","","","","sidamo","",2013-09-03,"Ji-Ae Ahn","","Natural / Dry",8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,"Bluish-Green",1,NA,NA,NA
"Arabica","nucoffee","Brazil","fazenda kaquend","","nucoffee","south of minas","Ralph Junqueira",2011-12-03,"NUCOFFEE","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,"Green",2,1250,1250,1250
"Arabica","ethiopia commodity exchange","Ethiopia","","","","sidamo","Green Gold Ethiopia | Phone: 0114342032",2010-06-16,"Ethiopia Commodity Exchange","","",7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,"",2,NA,NA,NA
"Arabica","kabum trading company","Uganda","chebonet (23) women coffee","kabum trading company","kabum trading company","kapchorwa eastern","Kabum trading company",2014-06-26,"Kabum Trading company","SL14","Washed / Wet",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,"Green",1,1950,1950,1950
"Arabica","bismarck castro","Honduras","los hicaques","cigrah s.a de c.v.","cigrah s.a de c.v","comayagua","Reinerio Zepeda",2017-05-18,"Bismarck Castro","Caturra","",8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,"Green",3,1400,1400,1400
"Arabica","lin, che-hao krude 林哲豪","Taiwan","tsoustructive garden 鄒築園","tsoustructive garden 鄒築園","taiwan coffee laboratory","leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",2016-05-18,"Lin, Che-Hao Krude 林哲豪","Sumatra","Pulped natural / honey",8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,"Green",0,1200,1200,1200
"Arabica","nora zeas","Nicaragua","","beneficio atlantic condega","","","",2010-05-18,"Nora Zeas","","",7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,"",2,NA,NA,NA
"Arabica","specialty coffee-korea","Tanzania, United Republic Of","","","","","",2013-09-03,"Specialty Coffee-Korea","","Natural / Dry",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,"Bluish-Green",1,NA,NA,NA
"Arabica","nucoffee","Brazil","fazenda recreio","","nucoffee","vale da grama","Homero Texeira de Macedo Junior",2011-12-03,"NUCOFFEE","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,"Green",2,1300,1300,1300
"Arabica","francisco a mena","Costa Rica","exclusive coffees s.a.","exclusive coffees s.a,","exclusive coffees s.a.","west and central valley","Exclusive Coffees S.A.",2015-12-03,"Francisco A Mena","Caturra","Washed / Wet",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,"Blue-Green",0,1300,1300,1300
"Arabica","hider abamecha","Ethiopia","haider abamecha coffee plantation","faysal abamecha processing plant at yebu town","haider abamecha coffee export","oromia","Haider Abamecha Abadiko",2015-03-27,"Hider Abamecha","","Natural / Dry",8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,"Green",3,1750,1800,1775
"Arabica","daniel magu","Kenya","kangunu","central kenya coffee mills","c dorman ltd","muranga","Kangunu",2014-05-30,"Daniel Magu","SL34","Washed / Wet",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,"Blue-Green",1,1800,1800,1800
"Arabica","kona pacific farmers cooperative","United States (Hawaii)","","","kona pacific farmers cooperative","kona","",2012-04-06,"Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry",8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,"",4,NA,NA,NA
"Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","","","kona","Kona Pacific Farmers Co-Op",2011-01-28,"Kona Pacific Farmers Cooperative","","",8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,"",1,NA,NA,NA
"Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-51-08-01, email | at","","","yirgacheffe","Contact name | ATO Teshome Belamo",2010-06-17,"Ethiopia Commodity Exchange","","",7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,"",2,NA,NA,NA
"Arabica","cqi q coffee sample representative","United States","la primavera","","coffee quality institute","antioquia","Hugo Sepúlveda Montoya",2015-03-13,"CQI Q Coffee Sample Representative","Other","Washed / Wet",7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,"",0,1941,1941,1941
"Arabica","itdp international","Thailand","co-op #12","","lanna cafe","chiang rai","ITDP",2012-04-12,"ITDP International","Caturra","Washed / Wet",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,"Green",9,1300,1300,1300
"Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","cocarive","","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",2011-01-04,"Jacques Pereira Carneiro","Yellow Bourbon","",8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,"",2,12,12,12
"Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","cocarive","","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",2011-01-04,"Jacques Pereira Carneiro","Yellow Bourbon","",8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,"",3,12,12,12
"Arabica","lin, che-hao krude 林哲豪","Taiwan","sunshine valley estate 向陽高山咖啡","sunshine valley estate 向陽高山咖啡","taiwan coffee laboratory","natou county","LIN YEN CHIEN 林言謙",2015-06-10,"Lin, Che-Hao Krude 林哲豪","Bourbon","Semi-washed / Semi-pulped",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,"Green",0,1000,1000,1000
"Arabica","jungle estate","Kenya","jungle estate","nkg coffee mills","keremara limited","nyeri","JUNGLE ESTATE",2015-01-29,"Jungle Estate","SL28","Natural / Dry",8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,"Bluish-Green",2,1754,1754,1754
"Arabica","nucoffee","Brazil","fazenda kaquend","","nucoffee","south of minas","Ralph Junqueira",2011-12-03,"NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,"Blue-Green",2,1250,1250,1250
"Arabica","great lakes coffee uganda","Uganda","kaasayi","great lakes coffee","ucda","eastern uganda","Kaasay Farmer Group",2014-10-01,"Great Lakes Coffee Uganda","","Semi-washed / Semi-pulped",8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,"",0,NA,NA,NA
"Arabica","lusso lab","Colombia","ecobio colombia","","lusso coffee lab","tolima","",2014-03-20,"LUSSO LAB","Caturra","Washed / Wet",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,"Green",1,900,1500,1200
