"species","owner","country_of_origin","farm_name","mill","company","region","producer","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","total_cup_points","moisture","category_one_defects","quakers","color","category_two_defects","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"Robusta","ankole coffee producers coop","Uganda","kyangundu cooperative society","ankole coffee producers","ankole coffee producers coop","sheema south western","Ankole coffee producers coop",2014-06-26,"Ankole coffee producers coop","","",7.83,8.08,7.75,7.92,8.25,7.92,10,10,8,8,83.75,0.12,0,0,"Green",2,1488,1488,1488
"Robusta","nishant gurjer","India","sethuraman estate kaapi royale","sethuraman estate","kaapi royale","chikmagalur karnataka indua","Nishant Gurjer Kaapi Royale",2017-10-31,"Nishant Gurjer","","Washed / Wet",8,7.75,7.92,8,7.92,7.92,10,10,8,8,83.5,0,0,0,"",2,3170,3170,3170
"Robusta","andrew hetzel","India","sethuraman estate","","sethuraman estate","chikmagalur","Nishant Gurjer",2015-04-30,"Andrew Hetzel","","",7.92,7.83,7.92,8,7.83,7.92,10,10,7.83,8,83.25,0,0,0,"Green",0,1000,1000,1000
"Robusta","ugacof","Uganda","ugacof project area","ugacof","ugacof ltd","central","UGACOF",2014-07-14,"UGACOF","","",8,7.92,7.92,7.75,7.83,7.75,10,10,7.75,8.08,83,0.12,0,0,"Green",7,1212,1212,1212
"Robusta","katuka development trust ltd","Uganda","katikamu capca farmers association","katuka development trust","katuka development trust ltd","luwero central region","Katuka Development Trust Ltd",2014-06-26,"Katuka Development Trust Ltd","","",8.33,7.83,7.83,7.75,8.25,7.75,10,10,7.58,7.67,83,0.12,0,0,"Green",3,1200,1300,1250
"Robusta","andrew hetzel","India","","(self)","cafemakers, llc","chikmagalur","Sethuraman Estates",2012-02-29,"Andrew Hetzel","","",8,7.92,7.67,8,7.75,7.92,10,10,7.75,7.75,82.75,0,0,0,"Green",0,3000,3000,3000
"Robusta","andrew hetzel","India","sethuraman estates","","cafemakers","chikmagalur","Nishant Gurjer",2014-05-15,"Andrew Hetzel","","",7.67,7.75,7.83,7.83,7.92,7.75,10,10,8,7.83,82.58,0,0,0,"Green",0,750,750,750
"Robusta","nishant gurjer","India","sethuraman estate kaapi royale","sethuraman estate","kaapi royale","chikmagalur karnataka india","Nishant Gurjer Kaapi Royale",2017-10-25,"Nishant Gurjer","","Washed / Wet",7.67,7.75,7.83,7.67,7.92,7.83,10,10,7.92,7.92,82.5,0.1,0,0,"Bluish-Green",0,3140,3140,3140
"Robusta","nishant gurjer","India","sethuraman estate","sethuraman estate","kaapi royale","chikmagalur karnataka","Sethuraman Estate Kaapi Royale",2016-08-17,"Nishant Gurjer","Other","Washed / Wet",7.67,7.75,7.58,7.83,7.83,8,10,10,7.92,7.92,82.5,0.09,0,0,"Green",0,1000,1000,1000
"Robusta","ugacof","Uganda","ishaka","nsubuga umar","ugacof ltd","western","Nsubuga Umar",2014-08-05,"UGACOF","","",7.67,7.83,7.83,7.83,7.92,7.75,10,10,7.75,7.83,82.42,0.12,0,0,"Green",6,900,1300,1100
"Robusta","ugacof","Uganda","ugacof project area","ugacof","ugacof ltd","iganga namadrope eastern","UGACOF project area",2014-06-26,"UGACOF","","",7.58,7.92,7.75,7.83,7.5,7.67,10,10,7.67,7.83,81.75,0.12,0,0,"Green",1,1095,1095,1095
"Robusta","nishant gurjer","India","sethuraman estate kaapi royale","sethuraman estate","kaapi royale","chikmagalur karnataka","Sethuraman Estate Kaapi Royale",2016-08-23,"Nishant Gurjer","Other","Natural / Dry",7.67,7.83,7.75,7.5,7.75,7.58,10,10,7.75,7.75,81.58,0.11,0,0,"Green",0,1000,1000,1000
"Robusta","andrew hetzel","India","sethuraman estates","","cafemakers","chikmagalur","Nishant Gurjer",2014-05-19,"Andrew Hetzel","","",7.58,7.58,7.67,7.58,7.67,7.67,10,10,7.5,8.33,81.58,0,0,0,"Green",1,750,750,750
"Robusta","kasozi coffee farmers association","Uganda","kasozi coffee farmers","","kasozi coffee farmers association","eastern","Kasozi coffee farmers Association",2014-07-14,"Kasozi Coffee Farmers Association","","",8,7.75,7.75,7.58,7.67,7.5,10,10,7.58,7.67,81.5,0.11,0,0,"Green",7,1367,1367,1367
"Robusta","ankole coffee producers coop","Uganda","kyangundu coop society","ankole coffee producers coop union ltd","ankole coffee producers coop","south western","Ankole coffee producers coop union Ltd",2014-07-14,"Ankole coffee producers coop","","",8,7.67,7.75,7.5,7.67,7.58,10,10,7.58,7.75,81.5,0.12,0,0,"Green",2,1488,1488,1488
"Robusta","andrew hetzel","India","sethuraman estate","","sethuraman estate","chikmagalur","Nishant Gurger",2015-04-30,"Andrew Hetzel","","",7.75,7.75,7.67,7.67,7.58,7.58,10,10,7.58,7.83,81.42,0,0,0,"Green",0,1000,1000,1000
"Robusta","andrew hetzel","India","sethuraman estates","sethuraman estates","cafemakers, llc","chikmagalur","Nishant Gurjer",2013-06-03,"Andrew Hetzel","","Natural / Dry",7.5,7.5,7.25,7.83,7.67,7.83,10,10,7.83,7.83,81.25,0.13,0,0,"Blue-Green",0,750,750,750
"Robusta","kawacom uganda ltd","Uganda","bushenyi","kawacom","kawacom uganda ltd","western","Kawacom uganda ltd",2014-06-27,"Kawacom Uganda LTD","","",7.33,7.58,7.5,7.75,7.75,7.67,10,10,7.75,7.58,80.92,0.12,0,0,"Green",1,1600,1600,1600
"Robusta","nitubaasa ltd","Uganda","kigezi coffee farmers association","nitubaasa","nitubaasa ltd","western","Kigezi Coffee Farmers Association",2014-06-27,"Nitubaasa Ltd","","",7.83,7.58,7.33,7.67,7.5,7.5,10,10,7.75,7.42,80.58,0.12,0,0,"Green",2,1745,1745,1745
"Robusta","mannya coffee project","Uganda","mannya coffee project","mannya coffee project","mannya coffee project","southern","Mannya coffee project",2014-06-27,"Mannya coffee project","","",7.75,7.42,7.33,7.58,7.67,7.58,10,10,7.67,7.5,80.5,0.12,0,0,"Green",1,1200,1200,1200
"Robusta","andrew hetzel","India","sethuraman estates","","cafemakers","chikmagalur","Nishant Gurjer",2014-05-19,"Andrew Hetzel","","",7.67,7.67,7.5,7.33,7.58,7.5,10,10,7.42,7.5,80.17,0,0,0,"Bluish-Green",1,750,750,750
"Robusta","andrew hetzel","India","sethuraman estates","sethuraman estates","cafemakers, llc","chikmagalur","Nishant Gurjer",2013-06-20,"Andrew Hetzel","","Natural / Dry",7.58,7.42,7.42,7.83,7.42,7.5,10,10,7.42,7.58,80.17,0,0,0,"Green",0,750,750,750
"Robusta","andrew hetzel","United States","sethuraman estates","sethuraman estates","cafemakers, llc","chikmagalur","Sethuraman Estates",2012-02-29,"Andrew Hetzel","Arusha","Natural / Dry",7.92,7.5,7.42,7.42,7.42,7.42,9.33,10,7.58,7.33,79.33,0,0,0,"Green",0,3000,3000,3000
"Robusta","luis robles","Ecuador","robustasa","our own lab","robustasa","san juan, playas","Café Robusta del Ecuador S.A.",2016-01-19,"Luis Robles","","",7.75,7.58,7.33,7.58,5.08,7.83,10,10,7.75,7.83,78.75,0,0,0,"Blue-Green",1,NA,NA,NA
"Robusta","luis robles","Ecuador","robustasa","own laboratory","robustasa","san juan, playas","Café Robusta del Ecuador S.A.",2016-01-19,"Luis Robles","","",7.5,7.67,7.75,7.75,5.17,5.25,10,10,8.42,8.58,78.08,0,0,0,"Blue-Green",0,40,40,40
"Robusta","james moore","United States","fazenda cazengo","cafe cazengo","global opportunity fund","kwanza norte province, angola","Cafe Cazengo",2014-12-23,"James Moore","","Natural / Dry",7.33,7.33,7.17,7.42,7.5,7.17,9.33,9.33,7.42,7.17,77.17,0,0,0,"",6,795,795,795
"Robusta","cafe politico","India","","","cafe politico","","",2014-08-25,"Cafe Politico","","Natural / Dry",7.42,6.83,6.75,7.17,7.25,7,9.33,9.33,7.08,6.92,75.08,0.1,20,0,"Green",1,NA,NA,NA
"Robusta","cafe politico","Vietnam","","","cafe politico","","",2014-08-25,"Cafe Politico","","Natural / Dry",6.75,6.67,6.5,6.83,6.92,6.83,9.33,9.33,6.67,7.92,73.75,0.12,63,0,"None",9,NA,NA,NA
